pay_code,pay_code_id,is_overtime_pay_code,is_leave_pay_code
Personal Eve TM,14d66d67fbbb8ed296b96c693ca465787637967cc06649209247b64bc1b2451f,false,true
MNA Temp Reassign 12 50HP,08005bd7ba09957fa3c87774e142d4a6ab5874c36457468f1f97d5e59a432114,false,false
TM-Orient12 Float indirect,a52e606ae31c866efdfcdf0e200b6c2f1efa5867e22b8eb5f55f345aa8e03c3c,false,true
TM-Orient10 Float indirect,304494684da159c2f5ecdce9595da3c01e93e2479458bc41cb5592dcbe8066d4,false,true
MNA 12 50HP Edu,8a59af2e1068bad233b52a28c4a544e6fb014d8b16ce61f0fcdf103d385da6e2,false,false
Approved Absence TM,f147c1ccc823b83c7bb249730ed04b86b91f47d2ebb5aec25c1d475e52f7d2af,false,true
MNA 50HP Call Float,d973587963e392bb59f16b7ee84eb67711280b596c4529e91c9694e28e9da92c,false,true
TM-Orient10 indirect,9d3f981c0c21f543e809f52a69160e7a8cf21613d86eea1df739b05d21ed61fd,false,false
MNA Float 12 50HP,5f839e3c04da81b3c5d0a96c29effb92ef9c876f59e80460fb5657df68b284a6,false,true
MNA 50HP Call,72faf1a7d704ac0e1cc6fa830310c8e828d6b22b8243bff2dd160f34a9b17f72,false,false
TM-11 OT 50HP,5697ce81765da4aca711e10f34a88fdf4f9ad4a70542165562e6efac5ff01ffc,true,false
MNA 8 50HP PermNite,4c31e98acaeffbdefc500cf0094b5433748a67720f361a1ffd74552ebb274e3d,false,false
MNA 10 100HP,beb26f3d1e8e363d6f713dd7236b4d2702ef95b0a9638e4f1c8fca6c88160c46,false,false
MNA 10 50HP PermNite,40695217b550acc2d040d93268b656ef0e46ba375fff3f358073660b152a60b4,false,false
PTO Cancelled TM,2a404cec90e78154206595cce676f6441921e2a935e7e958dc8e88bb1a519a63,false,true
PTO Unsched Unpaid TM,b5c02ab05d66d80d4cc915e3c86dc30e744d01ee073fb2f01c2f879409f114f7,false,true
TM-Called-in RN 50 Float,50d43b2cbc4e66d73869477e51116aa32e34c4a90b8fd3277ceaf23637f21b4e,false,true
TM-Orient8 indirect NU,1bd5d5ffa743fe37c30d0a9ebf7895446bf7641513c8be0478e5c105e32a43b7,false,false
Regular TM,88af3c6cdf62e4c32bb95ab1d3286d47acb2d43ac5f85a14f7343757d5653b16,false,false
PTO Hourly Unscheduled TM,7e26ace81a4d4d7b3f3a60584f107566d915b4e7bc3385f1eacff9d48ffe2f63,false,true
SEIU 8,d3e1d1ad5210c8d5346df7b82fcc0209c050f319b27563500578e44ab71bfbc5,false,false
HH-Bereavement,791553abd40acc358d07206d18deb775bbe922e6c57e7aff864d74da53efcc85,false,true
zzSEIU No Min 12,2e91dacd4fed20f2b00eb1c4d0f96edfa93056af12e60f5cde82125e1490ec4e,false,false
zzSEIU No Min 10,5b27f3b38c6725a63169a54fb5b50797a1759382c294869caafb73aeb1bea0be,false,false
Non Prod Edu TM,b013e61ebf1866a4f14237edd8e8e4a163d73d7f12a028b84508ea7adf1f6b28,false,false
Non Prod Mtg TM,b55e8e2b5a45fbcee19eaf4316d9bde7f4b7fd8fe20904173db282ede20f36a5,false,false
TM-Edu10 indirect,d563568487b56295d1894e859828a5a6d2976041a2981e456fb7de8cb7e134a5,false,false
Non Prod Adm TM,fa0c7689573bf4e9409cb21538433640b224c564df2f22cac3b4ea08a16f81d3,false,false
TM-Non Union Meal Timestamp,ed4762022b238a9b44a3f7eac40df5926c3957cfa46956d0c22e04fc3c744be0,false,false
TM-Called-in RN 50,5ddb058b3e73b5a841db20ec020fd2ec6807802410512165ff5c00116f0723b8,false,false
Bereavement Night TM,4b06286d8d1fcb8904fe18c72f697325ae8ed420f26d2b22790a2f14c03d2bdc,false,true
Flex Personal Night TM,23ba115ae7fe1b0ca56eba640e56f3cf2e7e380dde8d6d1966942016676d85c6,false,true
On Call Called In MNA TM,dc33cf0eafc827597ea8ec4feba703501788b5a0c041a61a3653c95a7ff5d211,false,false
TM-Temp Reassign 12 OT 50HP NU,ab01833d59d62a49cb2fb2033f75cc8a518f4fe52b160481499d123ae9c8ea3b,true,false
MNA Temp Reassign 12 50HP PermNi,af0f680990d0ef7d00e10cfe9e5d6f1bee3e00a3ac896e5806548ddf57c5ec1b,false,false
Salaried Regular TM,083ea5f779d1b38873abfe8f2068b5dd3fcc6debbda3eeb774c25539997475ec,false,false
PTO Scheduled Night TM,777da32e669fafa7cd6d2f21e4d340dde0de910fe920a04388106921d3698fe5,false,true
Unpaid Time TM,d110af557c82d4da36a75177508606a86f7094523beacd2084d183b575eeeee7,false,true
MNA 9 50HP,0461ceadfc0636bae997f22f71c4d22537d86669a71c6c50d857b6aba3aee71f,false,false
SEIU 10,5f45485043d7cda78ef458684983716587ca5e1669f03e1304193a7946e7e890,false,false
TM-09 OT 50HP,a4b31fce3f5d65a485dc253070520cc7a56a38cde43ac55417613550c98c6a7c,true,false
PTO Salaried Unscheduled TM,abe529efc6f6943be2f09db0a876f500e10e7514e0a9a9b85ca2d8e98646e813,false,true
Personal TM,f106015a3aee00efdfb584470a33b034d4cab9b3d7875b90c966cead8156d482,false,true
TM-TCN Admin 12,6d9fedf0c29b74a88839252ea1613a4b31897fd197f9840e662d33cc49d76ca9,false,false
TM-TCN Admin8,79396333b70df638591f282a6fe0336aaf199bf8b592815e72846b1f8de08328,false,false
Hourly Clinicians,82815b8fd5d65f9cf8fee79c054aa9a22d780aedc43990a7586ee04b615b254d,false,false
Hourly Temp Reassign,050bedf694f7a890898b3a407d7bbda288db77c264f949b371c613884774845e,false,false
MNA 8 100HP,a4a4e41fb13124daf077339cfe1b589ada94865dcffbdff5a71df0ae91b039fa,false,false
TM-Non Union Meal LH Timestamp,a76c768077eba67994be4f1a1b978f2b44bfc4834adf28c3b6b00ef18409a8fb,false,false
MNA 12 50HP Mtg,8849739f2df141831fc880615398d346140434bbae32ab9eeb3432b908c762f4,false,false
Hourly Charge,b4295d105adcb1bcc672d198c2d0a64a680911d7f2a98d33ea1ee6d110fc6239,false,false
Baylor Sunday Night Transfer,aee501610f8f202bef1dde0f02251236989fe856634b20a0f726875e70e2b430,false,false
Exempt,28b75de89786361fc94384c2a682c559d51f78c56e9e7b03e7be932739d65240,false,false
Hourly Orient,75562e3d11252ead012dcb9e1703bcff38f360997126718f5e6f2c8af139dfe5,false,false
TM-On Call RN,e5a08db95810eb228bcc65e1f7fc7afe63f40ab8a706df5cfb5e9afa77487d01,false,false
Sick LOA MNA Night TM,48590400e77a706a40d56004730d0b667289440ac3039f9e67322d2d3f6c8e03,false,true
MNA TCN Admin 12 50HP,6cbced3dbea13c9a0204e8161e2b05166cee2d23d3e9128a53eccacd6ef9bfa4,false,false
Education TM,1969407908246f5d386b57e80e69cdbd48182ae9f3578ce6b9ac8e56d8d25570,false,false
TCN Charge TM,c7279ec952997e2e73b38d549eec8cc7dba11385f35ea68275f2698e98bf640a,false,false
Hourly,eab0cd8fdf9bccecc74e5a010b32af35986e3929184a599f5aea3b8195340ee2,false,false
Hourly Edu,21cea72334c3e5de60baef1aa2e6654b0c5c5ccac7ca8c28fe75dd91a813a5ec,false,false
SEIU 8 Per Diem,cf0a3bbc17840cfd3c5c2f0a527232449f51e4850602220c6e214b531c823e32,false,false
MNA 8 50HP Admin,04b1afb452c3f21cb6ea45b93f35997bc4026b591191704fb485a4472ca61781,false,false
Hourly Admin,e9cb45abdb44809306b8893462dec74215001af56f3166aace83327cf27988ee,false,false
Sick MNA Night TM,83bf6f92e124a72087f00eb453863863959298fe97b7d1e3836a40d0ffe29bf4,false,true
TM-16 OT 50HP,3769423816e0270ce0641cd19b3dc00bfff39e4b5c01e86054bfbcab0c6ab740,true,false
MNA 16 50HP,9f8ec0204d950265c513511682fd0267c5fc68a54d1944bd20ce367a79c64c56,false,false
MNA Called in 50HP,13a6e0888b9902bb79058877004614db26d4ce8b26c23c739126e28c7ef1ad17,false,false
MNA 50HP Call PN,efafcff3fdad865cfc54fb0934ea1f957d64a22bafdcbf36c2fe6cccd32fc842,false,false
Per Visit,6e81a17699449e8e3bd56699bbdf2cc6ea759ac285969da8ab10bf76274659bf,false,false
TM-Orient16 Float indirect,23f31a49347bec3fd3eb60bd01b96f514c8e7b915eb9a92a013c1c30009fe688,false,true
Sick LOA Salaried TM,135c9d94465e80b5a76823c9bb3fe277fac68ad9f9614e720095970a11f10abb,false,true
MNA 12 50HP PN Orient Float,f2215a3050c776556f93d90c25cb1ccfb38779a4cb8306f87e09065520a53cc5,false,true
TM-Temp Reassign 08 OT 50HP NU,b469ae98c140b13bec5ca9ecd07a7191397192db923ed7e60f64af279c55055b,true,false
Jury Duty Night TM,6bdd6037fe27c0d4793bcb5d2a1bb0d4e5e38a096f6bab6214256239057bdc0a,false,true
ZZTM-On Call RN Float,2720702aefa2a84db561da375a2397dcbed45fcb8e4047589b9004347461c6a2,false,true
TM-Meeting Non Union,65727309e2b63175b03ea7e2ecdfe85cc3a7d4a8b95fc93a244454ef834d6e60,false,false
TM-08 OT 100HP LH,7f25d38a9a5ee6056d2abbd373df4f2dfbc24256c1cca0a58163f1779d09fab3,true,false
Baylor Saturday Day Transfer,bf67c11648ffc68cd344c04611c5c5fbb27922315ce31dd70bfa6455a4d4b30f,false,false
HH-Education NON Mandatory,065b7064ef3c742c1008437deb05135c006eef28b03e14b09312002316668dad,false,false
MNA Float 12 50HP PermNite,dee3fee910d27be66ebeddaa0db6cb179df45da3009bf0df69ddae73b4687d2e,false,true
Wrong Function Key,7d2a792ff34ec044f5dd547b0216d15118f793a6079337385b3d38a2a86b12e1,false,false
MNA TCN Admin 8 50HP,d3b1f31f194f9a00f6085f5f67c827c9471b358f75e81d8312d8c6d3a0c57de0,false,false
Sick MNA Eve TM,70fb8a58375ff890f97570144ba1d5c7cd263a239b7e2905f5bf24e36e5c5289,false,true
Baylor Friday Night Transfer,e7f53865f02dfb569d925fa1b51a2be0e240bb6832aa264d87012fd0d5a0e63a,false,false
TM-Temp Reassign 10 OT 50HP,8e390db48eebf860a7de9b99701dbe99df67028c27d8d466a64a03822a13344f,true,false
TM-Adm8 indirect NU,05180baaede305c6ffa7c582b8df407432b999af8bf84022f951829c5e8913d5,false,false
TM-Non Union No Meal,f03df4fe64460c09863aa7f2ce5d3aeee96d1a85cbdbfe0c1fc68150cd8eea6a,false,false
MNA 10 50HP Admin,31241147b11522c9417e460ebb901b748d2b16c0ab15054e5218648375184c36,false,false
HH-Union DOT 10 No Min,c2056a61642cde2ca3690bb0a6ba1b0ccaa5ff7b9af23a8dbb881bf86211ca56,false,false
MNA 10 50HP Orient,5ed9ae23bc0fbfdc697e64428d93060921b27a2980f2f48db11507efb1fab5e3,false,false
MNA 10 50HP Orient Float,fd42d67f695a4e0bc86d0056dac68b6d461d38386a60d7e6722f296bcb2ed135,false,true
Administrative Leave TM,d10747f11e693735f05c30194efdd3b37ed1a5f2741a6ff2a7f2b421504ee188,false,true
Flex Personal TM,c072bc01037e596b89cecdc1507314b0579ca140d640b69095b408d60bbb78cf,false,true
TM-11 OT 50HP NU,15605b8e25e2adda6abcd3b203cd7a82fcd36a833fed0248838d9e7406895359,true,false
MNA 8 50HP Orient Float,c1399d8b198a92258134fb998b013c931a9b381d0b16a9f5ed5fb1ac35f335e4,false,true
MNA 9 50HP Admin,1d58d4892e9fb616bbe52577b14337733b67a7a07b20d06a05a291e114b8fcfd,false,false
TCN Admin TM,4f548ea28f16448c994dc094ad3a36499e855ca556b88c4e41103867bf770cd4,false,false
HH-ON CALL 10,7915eafc693b9e8611eeada9515e7b0e49dd54a3acd597b49359146a73564ed0,false,false
Hourly Unsched Call,a09186d8b0a163c80432a0845af7ebfbc94f21582916cdc9bcae902d23291de8,false,false
CANCELED_DEDUCT,8116e864c947d50248b8e737a9879a494ac45f7bef6a8a280246a2a6c94b9f27,false,true
Charge Pay Non Union TM,b42b129d18157a5285366e1853ef9ecc3ee9324ec1bcee7f1894e8b16102b9e3,false,false
WF-Non Union Meal LH Timestamp,12b2648009ed4f59363d9cf0a165d9b1bc3dbdfc01b25db619fbc0e85f35c059,false,false
TM-Admin Non Union,e60aa8302c08b884b626709f17102a6f87080b1c624d78ba80ed02149a20fe9b,false,false
